"ST_SCHID","NAME","TREAT","ENROLLMENT_1819","White_Pct_1920","Hispanic_Pct_1920","Econ_Dis_Pct","MATH_PCT_PASS_1819","ELA_PCT_PASS_1819","GRADE_9_ENROLL_IDOE_1819","Grad_Rate_Non_Waiver_2019","SWD_Pct","Diploma_Pct_Honors_2017","Diploma_Pct_Core_40_2017","Coll_Enrl_Pct_2017","Need_Remed_Pct_2017","Earned_Dual_Credit","SAT_No_SAT_data","SAT_1200-1600","No_AP","Passed_AP"
"IN-5075-4911","Bedford-North Lawrence High School",1,1483,0.93606998654105,0.0302826379542396,0.432705248990579,0.323353293413174,0.553191489361702,388,0.7622,0.166554281861092,0.393728222996516,0.299651567944251,0.609756097560976,0.0418118466898955,0.571428571428571,0.341463414634146,0.139372822299652,0.588850174216028,0.128919860627178
"IN-2475-2083","Franklin County High",1,764,0.972602739726027,0.010958904109589,0.4,0.260115606936416,0.61271676300578,200,0.7327,0.136125654450262,0.403061224489796,0.362244897959184,0.510204081632653,0.0408163265306122,0.714285714285714,0.525510204081633,0.0816326530612245,0.795918367346939,0.0153061224489796
"IN-8525-9137","Frontier Jr-Sr High School",1,313,0.96,0.0166666666666667,0.283333333333333,0.291666666666667,0.729166666666667,54,0.7,0.140575079872204,0.541666666666667,0.354166666666667,0.791666666666667,0.0416666666666667,0.958333333333333,0.1875,0.104166666666667,0.729166666666667,0.0833333333333333
"IN-3945-3239","Jay County High School",1,1003,0.908315565031983,0.0735607675906183,0.47228144989339,0.245192307692308,0.44390243902439,255,0.7984,0.207377866400798,0.404858299595142,0.360323886639676,0.558704453441296,0.0323886639676113,0.842105263157895,0.477732793522267,0.0728744939271255,0.963562753036437,0.0161943319838057
"IN-0875-0701","Logansport Community High School",1,1219,0.486682808716707,0.428571428571429,0.556093623890234,0.488549618320611,0.591603053435115,329,0.8189,0.114848236259229,0.327659574468085,0.574468085106383,0.595744680851064,0.0212765957446809,0.753191489361702,0.395744680851064,0.0553191489361702,0.71063829787234,0.051063829787234
"IN-3115-2565","New Palestine High School",1,1183,0.929180887372014,0.0290102389078498,0.214163822525597,0.45583038869258,0.773049645390071,288,0.8576,0.131868131868132,0.470833333333333,0.504166666666667,0.733333333333333,0.0458333333333333,0.654166666666667,0.258333333333333,0.1625,0.475,0.208333333333333
"IN-2275-1733","Northridge High School",1,1405,0.828057553956835,0.117985611510791,0.256115107913669,0.458333333333333,0.633928571428571,364,0.8399,0.106761565836299,0.39202657807309,0.504983388704319,0.674418604651163,0.0332225913621262,0.730897009966777,0.352159468438538,0.186046511627907,0.764119601328904,0.18936877076412
"IN-6155-6581","Paoli Jr & Sr High School",1,655,0.946540880503145,0.0235849056603774,0.465408805031447,0.375,0.609195402298851,120,0.6,0.16030534351145,0.349397590361446,0.421686746987952,0.530120481927711,0.108433734939759,0.855421686746988,0.469879518072289,0.0843373493975904,0.650602409638554,0.156626506024096
"IN-6375-6654","Parke Heritage High School",1,336,0.938837920489297,0.0214067278287462,0.489296636085627,0.157303370786517,0.617977528089888,83,0.8256,0.223214285714286,0.395061728395062,0.432098765432099,0.802469135802469,0.111111111111111,0.802469135802469,0.296296296296296,0.111111111111111,0.641975308641975,0.111111111111111
"IN-6080-6513","Rising Sun High School",1,256,0.9609375,0.01953125,0.38671875,0.180555555555556,0.583333333333333,67,0.875,0.22265625,0.377777777777778,0.555555555555556,0.6,0.0444444444444444,0.822222222222222,0.533333333333333,0.111111111111111,0.933333333333333,0
"IN-8115-8737","Seeger Memorial Jr-Sr High School",1,574,0.942959001782531,0.0374331550802139,0.379679144385027,0.471264367816092,0.781609195402299,90,0.9811,0.179442508710801,0.442857142857143,0.528571428571429,0.6,0.114285714285714,0.842857142857143,0.328571428571429,0.0571428571428571,0.485714285714286,0.171428571428571
"IN-3055-2463","Sheridan High School",1,310,0.933753943217666,0.0441640378548896,0.406940063091483,0.36,0.653333333333333,78,0.8721,0.206451612903226,0.373134328358209,0.402985074626866,0.686567164179104,0.0298507462686567,0.492537313432836,0.358208955223881,0.0895522388059701,0.582089552238806,0.149253731343284
"IN-5520-5985","Shoals Community Jr-Sr High School",1,194,0.974489795918367,0.0102040816326531,0.566326530612245,0.333333333333333,0.666666666666667,51,0.7551,0.22680412371134,0.27906976744186,0.348837209302326,0.534883720930233,0.162790697674419,0.627906976744186,0.534883720930233,0.0232558139534884,0.720930232558139,0.0465116279069767
"IN-2110-1588","Southridge High School",1,523,0.746,0.234,0.39,0.43801652892562,0.603305785123967,120,0.7466,0.112810707456979,0.323529411764706,0.392156862745098,0.666666666666667,0.137254901960784,0.705882352941177,0.480392156862745,0.156862745098039,0.715686274509804,0.0882352941176471
"IN-6825-7125","Winchester Community High School",1,422,0.938534278959811,0.0401891252955083,0.470449172576832,0.274509803921569,0.415841584158416,97,0.8218,0.130331753554502,0.266666666666667,0.476190476190476,0.561904761904762,0.0476190476190476,0.60952380952381,0.428571428571429,0.104761904761905,0.666666666666667,0.152380952380952
"IN-0015-0021","Adams Central High School",0,374,0.940845070422535,0.028169014084507,0.211267605633803,0.490196078431373,0.705882352941177,78,0.9596,0.0588235294117647,0.452631578947368,0.410526315789474,0.589473684210526,0.0315789473684211,0.705263157894737,0.431578947368421,0.115789473684211,0.536842105263158,0.168421052631579
"IN-7615-7893","Angola High School",0,888,0.83510011778563,0.118963486454653,0.366313309776207,0.323076923076923,0.586734693877551,217,0.7048,0.11036036036036,0.388157894736842,0.381578947368421,0.552631578947368,0.0197368421052632,0.585526315789474,0.407894736842105,0.157894736842105,0.625,0.177631578947368
"IN-5470-5937","Argos Comm Jr-Sr High School",0,308,0.929663608562691,0.0489296636085627,0.415902140672783,0.465116279069767,0.581395348837209,63,0.7679,0.155844155844156,0.404761904761905,0.476190476190476,0.666666666666667,0,0.476190476190476,0.380952380952381,0.19047619047619,0.404761904761905,0.30952380952381
"IN-2435-2053","Attica High School",0,328,0.903225806451613,0.0580645161290323,0.438709677419355,0.27906976744186,0.534883720930233,44,0.96,0.182926829268293,0.145833333333333,0.5625,0.583333333333333,0.0416666666666667,0.666666666666667,0.479166666666667,0.0625,0.75,0.0833333333333333
"IN-7230-7629","Austin High School",0,376,0.962059620596206,0.021680216802168,0.596205962059621,0.270588235294118,0.541176470588235,86,0.6296,0.210106382978723,0.370786516853933,0.471910112359551,0.49438202247191,0.0224719101123595,0.730337078651685,0.415730337078652,0.0337078651685393,1,0
"IN-1315-1069","Barr Reeve Middle/High School",0,443,0.963597430406852,0.0214132762312634,0.276231263383298,0.728813559322034,0.898305084745763,59,0.9773,0.126410835214447,0.571428571428571,0.321428571428571,0.678571428571429,0.0357142857142857,0.607142857142857,0.285714285714286,0.321428571428571,0.803571428571429,0.160714285714286
"IN-6895-7217","Batesville High School",0,701,0.925394548063128,0.0444763271162123,0.206599713055954,0.646341463414634,0.774390243902439,179,0.8808,0.141226818830243,0.567901234567901,0.339506172839506,0.740740740740741,0.0246913580246914,0.864197530864197,0.209876543209877,0.265432098765432,0.746913580246914,0.197530864197531
"IN-0395-0445","Benton Central Jr-Sr High School",0,855,0.885985748218527,0.0807600950118765,0.41686460807601,0.330827067669173,0.699248120300752,167,0.9145,0.235087719298246,0.383458646616541,0.511278195488722,0.661654135338346,0.0601503759398496,0.736842105263158,0.278195488721804,0.0827067669172932,0.503759398496241,0.112781954887218
"IN-0515-0489","Blackford High School",0,511,0.926530612244898,0.0312925170068027,0.552380952380952,0.205357142857143,0.526785714285714,120,0.9302,0.162426614481409,0.338582677165354,0.488188976377953,0.503937007874016,0.0236220472440945,0.653543307086614,0.582677165354331,0.102362204724409,0.818897637795276,0.0393700787401575
"IN-2920-2419","Bloomfield Jr-Sr High School",0,381,0.940568475452196,0.0284237726098191,0.364341085271318,0.318181818181818,0.575757575757576,68,0.9574,0.162729658792651,0.39344262295082,0.573770491803279,0.819672131147541,0.180327868852459,0.836065573770492,0,0.131147540983607,0.688524590163934,0.0163934426229508
"IN-3405-2801","Blue River Valley Jr-Sr High Sch",0,293,0.952054794520548,0.0136986301369863,0.414383561643836,0.319148936170213,0.553191489361702,47,0.8049,0.119453924914676,0.306122448979592,0.63265306122449,0.612244897959184,0.0816326530612245,0.469387755102041,0.326530612244898,0.142857142857143,0.612244897959184,0.163265306122449
"IN-8445-9089","Bluffton High School",0,478,0.859913793103448,0.0711206896551724,0.46551724137931,0.53448275862069,0.629310344827586,132,0.9811,0.140167364016736,0.44,0.47,0.49,0.03,0.7,0.36,0.05,0.92,0.01
"IN-6520-6838","Boone Grove High School",0,528,0.836614173228346,0.118110236220472,0.273622047244095,0.407407407407407,0.743119266055046,132,0.8409,0.202651515151515,0.229357798165138,0.642201834862385,0.697247706422018,0.018348623853211,0.642201834862385,0.348623853211009,0.119266055045872,1,0
"IN-8130-8789","Boonville High School",0,919,0.941872981700754,0.0139935414424112,0.452099031216362,0.391111111111111,0.542222222222222,219,0.7181,0.219804134929271,0.21875,0.5625,0.557291666666667,0.0885416666666667,0.453125,0.53125,0.0885416666666667,0.765625,0.0677083333333333
