ST_SCHID,Year,NAME_CCD,TREAT,Cohort,Time,PYr,TYr1,TYr2,TYr3,Corp_Name,Schl_Name,TOTAL_ENROLLMENT,Grade_6_N,Grade_7_N,Grade_8_N,Grade_9_N,Grade_10_N,Grade_11_N,Grade_12_N,Grade_13_or_Adult_N,Grade_9_12_Enrl,Grade_6_8_Enrl,Name_Mod,American_Indian_N,Asian_N,Black_N,Hispanic_N,Multiracial_N,Native_Hawaiian_or_Other_Pacific_Islander_N,White_N,Free_Reduced_Price_Meals_N,Paid_Meals_N,Pct_White,Pct_FRPL,ELL_N,ELL_Pct,Special_Education_N,Special_Education_Pct,Attendance_Rate,Cohort_N,Grad_N,NoWaiver_Grad_N,Grad_Rate_Total,Grad_Rate_NoWaiver,HS_Grads_N,Pct_Enr_College,Pct_Enr_IN_Pub_College,Pct_Need_Remed,Pct_Earn_Remed_Cred,Avg_Freshman_GPA,Avg_Freshman_Credit_Earned,Dual_Credit_Count,Earned_Dual_Credit_N,Dual_Credit_Earned_Pct,Passed_AP_Pct,Took_AP_Pct,Met_Coll_Ready_Benchmk_Pct,Not_Taken_Coll_Ready_Benchmk_Pct,ACT_LT_15_N,ACT_15_19_N,ACT_20_25_N,ACT_26_36_N,ACT_No_data_N,Took_ACT_N,Took_ACT_Pct,SAT_LT_800_N,SAT_1000_1199_N,SAT_1200_1600_N,SAT_800_999_N,SAT_No_data_N,Took_SAT_N,Took_SAT_Pct,Scholar_21st_Century_N,Scholar_21st_Cen_Pct
IN-5075-4911,2015,Bedford-North Lawrence High School,1,Tier 1,-4,0,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1614,0,0,0,453,367,401,376,17,1597,0,Bedford North Lawrence High School,10,10,3,35,41,0,1481,1012,568,0.937341772151899,0.640506329113924,11,0.00681536555142503,285,0.176579925650558,0.934903195917512,358,313,302,0.874301675977654,0.843575418994413,319,0.648902821316615,0.532915360501567,0.0940438871473354,0.0595611285266458,2.69375,22.020588,157,157,0.492163009404389,0.112852664576803,0.363636363636364,,,,,,,,,,20,80,18,78,123,196,0.614420062695925,49,0.153605015673981
IN-5075-4911,2016,Bedford-North Lawrence High School,1,Tier 1,-3,0,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1580,0,0,0,381,450,343,384,22,1558,0,Bedford North Lawrence High School,10,10,3,35,41,0,1481,1012,568,0.937341772151899,0.640506329113924,4,0.00253164556962025,257,0.162658227848101,0.931642574520491,375,322,310,0.858666666666667,0.826666666666667,327,0.651376146788991,0.53822629969419,0.0978593272171254,0.0825688073394496,2.624117,23.116477,149,149,0.45565749235474,0.0244648318042813,0.149847094801223,,,,,,,,,,23,74,13,72,145,182,0.556574923547401,59,0.180428134556575
IN-5075-4911,2017,Bedford-North Lawrence High School,1,Tier 1,-2,0,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1566,0,0,0,413,378,425,326,24,1542,0,Bedford North Lawrence High School,8,14,5,46,39,0,1454,989,577,0.928480204342273,0.63154533844189,8,0.00510855683269476,250,0.159642401021711,0.924600181323663,326,280,268,0.8589,0.8221,287,0.609756097560976,0.543554006968641,0.0418118466898955,0.0383275261324042,2.685064,22.63782,164,164,0.571428571428571,0.128919860627178,0.411149825783972,,,,,,,,,,2,101,40,46,98,189,0.658536585365854,34,0.118466898954704
IN-5075-4911,2018,Bedford-North Lawrence High School,1,Tier 1,-1,0,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1564,0,0,0,382,399,363,413,7,1557,0,Bedford North Lawrence High School,6,16,3,46,40,0,1453,626,938,0.929028132992327,0.400255754475703,8,0.0051150895140665,254,0.162404092071611,0.923274216242479,416,333,309,0.8005,0.7428,338,0.63905325443787,0.547337278106509,0.0443786982248521,0.0384615384615385,2.771978,23.245945,234,234,0.692307692307692,0.13905325443787,0.372781065088757,,,301,9,20,8,0,338,1,124,111,61,42,0,338,1,43,0.127218934911243
IN-5075-4911,2019,Bedford-North Lawrence High School,1,Tier 1,0,0,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1483,0,0,0,388,368,372,343,12,1471,0,Bedford North Lawrence High School,4,13,5,39,33,0,1389,623,860,0.936614969656102,0.420094403236682,7,0.00472016183412003,247,0.166554281861092,0.924653082633037,328,290,250,0.8841,0.7622,299,0.615384615384615,0.511705685618729,0.0334448160535117,0.0301003344481605,2.856375,22.509803,229,229,0.765886287625418,0.140468227424749,0.347826086956522,0.377926421404682,0.568561872909699,0,10,14,10,265,34,0.11371237458194,1,58,28,27,185,114,0.381270903010033,38,0.127090301003344
IN-5075-4911,2020,Bedford-North Lawrence High School,1,Tier 1,1,1,0,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1486,0,0,0,380,390,342,364,10,1476,0,Bedford North Lawrence High School,3,8,5,45,34,0,1391,643,843,0.93606998654105,0.432705248990579,4,0.00269179004037685,266,0.179004037685061,0.945229778753418,374,335,,0.8957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN-5075-4911,2021,Bedford-North Lawrence High School,1,Tier 1,2,0,1,0,0,North Lawrence Com Schools,Bedford-North Lawrence High School,1472,0,0,0,385,361,369,348,9,1463,0,Bedford North Lawrence High School,0,10,5,39,36,0,1382,631,841,0.938858695652174,0.42866847826087,5,0.00339673913043478,269,0.182744565217391,,346,299,292,0.8642,0.8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN-3945-3239,2015,Jay County High School,1,Tier 1,-4,0,0,0,0,Jay School Corp,Jay County High School,1118,0,0,0,277,277,322,232,10,1108,0,Jay County High School,0,6,2,43,24,0,1047,574,548,0.933155080213904,0.511586452762923,5,0.00447227191413238,203,0.181574239713775,0.927751190130441,240,230,207,0.958333333333333,0.8625,233,0.476394849785408,0.399141630901288,0.0429184549356223,0.0257510729613734,2.556818,20.295698,145,145,0.622317596566524,0.0300429184549356,0.120171673819742,,,,,,,,,,17,33,7,55,121,112,0.48068669527897,50,0.214592274678112
IN-3945-3239,2016,Jay County High School,1,Tier 1,-3,0,0,0,0,Jay School Corp,Jay County High School,1122,0,0,0,265,274,268,307,8,1114,0,Jay County High School,0,6,2,43,24,0,1047,574,548,0.933155080213904,0.511586452762923,3,0.00267379679144385,184,0.163992869875223,0.922151968496047,299,281,245,0.939799331103679,0.819397993311037,278,0.5,0.348920863309353,0.0503597122302158,0.039568345323741,2.632978,19.350515,210,210,0.755395683453237,0.0287769784172662,0.0683453237410072,,,,,,,,,,20,37,14,43,164,114,0.410071942446043,55,0.197841726618705
IN-3945-3239,2017,Jay County High School,1,Tier 1,-2,0,0,0,0,Jay School Corporation,Jay County High School,1073,0,0,0,279,262,270,249,13,1060,0,Jay County High School,1,1,2,45,27,0,997,551,522,0.929170549860205,0.513513513513514,3,0.00279589934762349,186,0.173345759552656,0.909726969636415,246,236,221,0.9593,0.8984,247,0.558704453441296,0.453441295546559,0.0323886639676113,,2.659821,21.776785,208,208,0.842105263157895,0.0161943319838057,0.0364372469635628,,,,,,,,,,2,75,18,34,118,129,0.522267206477733,40,0.161943319838057
